class,probability,count
813,1.5174967373820147e-05,6
814,3.793741843455037e-05,15
815,3.793741843455037e-05,15
816,5.5641547037340534e-05,22
817,2.5291612289700243e-05,10
818,3.2879095976610314e-05,13
819,1.7704128602790172e-05,7
820,2.276245106073022e-05,9
821,2.7820773518670267e-05,11
822,6.32290307242506e-05,25
823,2.276245106073022e-05,9
824,1.2645806144850122e-05,5
825,5.0583224579400486e-05,20
826,3.0349934747640294e-05,12
827,7.081651441116069e-05,28
828,3.793741843455037e-05,15
829,1.2645806144850122e-05,5
830,5.817070826631056e-05,23
831,2.5291612289700243e-05,10
832,3.793741843455037e-05,15
833,1.2645806144850122e-05,5
834,3.5408257205580345e-05,14
835,4.805406335043046e-05,19
836,1.2645806144850122e-05,5
837,5.5641547037340534e-05,22
838,6.32290307242506e-05,25
839,7.334567564013071e-05,29
840,5.5641547037340534e-05,22
841,6.828735318219065e-05,27
842,7.5874836869100735e-06,3
843,3.5408257205580345e-05,14
844,2.0233289831760196e-05,8
845,3.0349934747640294e-05,12
846,4.552490212146044e-05,18
847,3.5408257205580345e-05,14
848,1.5174967373820147e-05,6
849,5.0583224579400486e-05,20
850,3.2879095976610314e-05,13
851,5.058322457940049e-06,2
852,7.5874836869100735e-06,3
853,7.5874836869100735e-06,3
854,3.2879095976610314e-05,13
855,1.7704128602790172e-05,7
856,3.2879095976610314e-05,13
857,2.7820773518670267e-05,11
858,6.32290307242506e-05,25
859,1.7704128602790172e-05,7
860,4.2995740892490416e-05,17
861,7.5874836869100735e-06,3
862,5.5641547037340534e-05,22
863,3.2879095976610314e-05,13
864,5.0583224579400486e-05,20
865,2.276245106073022e-05,9
866,3.0349934747640294e-05,12
867,2.276245106073022e-05,9
868,7.5874836869100735e-06,3
869,3.793741843455037e-05,15
870,3.793741843455037e-05,15
871,4.046657966352039e-05,16
872,1.5174967373820147e-05,6
873,5.5641547037340534e-05,22
874,4.046657966352039e-05,16
875,5.058322457940049e-06,2
876,5.058322457940049e-06,2
877,2.7820773518670267e-05,11
878,3.2879095976610314e-05,13
879,3.2879095976610314e-05,13
880,2.0233289831760196e-05,8
881,2.276245106073022e-05,9
882,2.7820773518670267e-05,11
883,1.7704128602790172e-05,7
884,6.069986949528059e-05,24
885,1.2645806144850122e-05,5
886,3.0349934747640294e-05,12
887,3.5408257205580345e-05,14
888,1.2645806144850122e-05,5
889,6.575819195322063e-05,26
890,5.0583224579400486e-05,20
891,3.0349934747640294e-05,12
